minute,hh:mm,name,age,gender,occupation,prefecture,income_jpy,channel,category,sku,price_jpy,impulse,reason
1275,21:15,山本 拓海,41,男,販売員,神奈川県,3780000,楽天市場,化粧品,ETUDE ティアアイライナー 限定色,1422,1,夜のリラックス中に / 新作
1305,21:45,山本 拓海,41,男,販売員,神奈川県,3780000,MUJI passport,アパレル,無印良品 オーガニックコットン Vネック 半袖T 白 M,1490,1,夜のリラックス中に / 夏定番
1250,20:50,渡辺 綾,64,女,パート,東京都市部,1630000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,1,夜のリラックス中に / 通勤新調
1255,20:55,渡辺 綾,64,女,パート,東京都市部,1630000,メルカリ,中古品,【動作確認済】Sony WH-1000XM4 黒 中古,22038,1,夜のリラックス中に / 新品より安い
1105,18:25,山口 克彦,77,男,飲食店,神奈川県,3060000,Amazon,食品,カルビー フルグラ 800g x 3,2856,0,勤務中こっそり / 計画通り
1235,20:35,山口 克彦,77,男,飲食店,神奈川県,3060000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,1,夜のリラックス中に / 冬支度
420,07:00,佐藤 亮,53,男,販売員,栃木県,2400000,Yahoo!ショッピング,日用品,除菌洗剤 業務用 4L,3052,0,朝の準備中ふと / PayPay祭
595,09:55,佐藤 亮,53,男,販売員,栃木県,2400000,MUJI passport,食品,無印良品 素材を生かしたカレー グリーン,350,0,勤務中こっそり / ストック補充
820,13:40,佐藤 亮,53,男,販売員,栃木県,2400000,楽天市場,食品,台湾カステラ 6個セット,2808,0,ランチ食べながら / 話題スイーツ
1155,19:15,佐藤 亮,53,男,販売員,栃木県,2400000,メルカリ,中古品,【動作確認済】Sony WH-1000XM4 黒 中古,20210,0,夕食後にカートを処理 / 新品より安い
505,08:25,斎藤 麻衣,79,女,パート,神奈川県,1640000,Uniqlo online,アパレル,リネンブレンド オープンカラー シャツ 半袖 (オフホワイト L),3990,0,朝の準備中ふと / 週末カジュアル
1220,20:20,斎藤 麻衣,79,女,パート,神奈川県,1640000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,0,夕食後にカートを処理 / 通勤新調
1235,20:35,斎藤 麻衣,79,女,パート,神奈川県,1640000,MUJI passport,家具,無印良品 やわらかフィットソファ 1人掛け 用 カバー,4990,1,夜のリラックス中に / 気分転換
740,12:20,小林 貴志,49,男,公務員,東京都23区,5720000,Amazon,コーヒー,STARBUCKS ハウス ブレンド ホール 250g,1428,0,ランチ食べながら / 切らした
1085,18:05,小林 貴志,49,男,公務員,東京都23区,5720000,楽天市場,化粧品,KOSE 雪肌精 化粧水 200ml,2960,1,通勤中ふと思い出して / リピート
1090,18:10,小林 貴志,49,男,公務員,東京都23区,5720000,Amazon,サブスク,Amazon Prime 年会費 (1年),5900,1,通勤中ふと思い出して / 年次自動更新
1190,19:50,小林 貴志,49,男,公務員,東京都23区,5720000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,0,夕食後にカートを処理 / 冬支度
1210,20:10,小林 貴志,49,男,公務員,東京都23区,5720000,Amazon,食品,KIRIN 自然が磨いた天然水 2L x 9本,1380,1,夜のリラックス中に / 備蓄
1325,22:05,小林 貴志,49,男,公務員,東京都23区,5720000,Uniqlo online,アパレル,リネンブレンド オープンカラー シャツ 半袖 (オフホワイト L),3990,1,夜のリラックス中に / 週末カジュアル
1375,22:55,小林 貴志,49,男,公務員,東京都23区,5720000,Amazon,サブスク,Kindle Unlimited 3ヶ月分,2940,1,寝る前に思い立って / 読み放題
1155,19:15,高橋 拓海,45,男,会社員,東京都市部,4440000,楽天市場,日用品,コストコ カークランド トイレットペーパー 30ロール,3841,0,夕食後にカートを処理 / まとめ買いお得
1180,19:40,高橋 拓海,45,男,会社員,東京都市部,4440000,楽天市場,化粧品,KOSE 雪肌精 化粧水 200ml,3203,0,夕食後にカートを処理 / リピート
1225,20:25,高橋 拓海,45,男,会社員,東京都市部,4440000,honto,電子書籍,hontoポイント 1000円分,1000,1,夜のリラックス中に / 次回用ポイント購入
1320,22:00,高橋 拓海,45,男,会社員,東京都市部,4440000,Amazon,電化製品,Anker PowerLine III USB-C ケーブル 1.8m,1290,1,夜のリラックス中に / ケーブル断線
1345,22:25,高橋 拓海,45,男,会社員,東京都市部,4440000,メルカリ,ホビー,【美品】鬼滅の刃 全巻セット 1-23巻,11773,1,夜のリラックス中に / 一気読み用
530,08:50,田中 翔,77,男,工場勤務,埼玉県,2250000,Amazon,日用品,ピジョン 親子で使える泡シャンプー 詰替 350ml,815,0,勤務中こっそり / リピート
1210,20:10,田中 翔,77,男,工場勤務,埼玉県,2250000,honto,電子書籍,hontoポイント 1000円分,1000,0,夕食後にカートを処理 / 次回用ポイント購入
1170,19:30,山本 ハル,77,女,退職,東京都23区,3620000,Yahoo!ショッピング,日用品,除菌洗剤 業務用 4L,2804,0,夕食後にカートを処理 / PayPay祭
1240,20:40,山本 ハル,77,女,退職,東京都23区,3620000,MUJI passport,アパレル,無印良品 オーガニックコットン Vネック 半袖T 白 M,1490,1,TVショッピング見て / 夏定番
1230,20:30,佐々木 雄太,78,男,飲食店,埼玉県,2560000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,1,夜のリラックス中に / 通勤新調
1365,22:45,佐々木 雄太,78,男,飲食店,埼玉県,2560000,MUJI passport,食品,無印良品 不揃いバウム メープル 5袋,1390,1,夜のリラックス中に / おやつストック
495,08:15,木村 雄太,48,男,飲食店,茨城県,4620000,Amazon,書籍,ジェイソン流お金の増やし方,1430,0,朝の準備中ふと / 投資勉強
525,08:45,木村 雄太,48,男,飲食店,茨城県,4620000,Amazon,日用品,クイックル ワイパー 立体吸着 ウェット 32枚,890,0,勤務中こっそり / リピート
1180,19:40,木村 雄太,48,男,飲食店,茨城県,4620000,楽天市場,食品,讃岐うどん 半生 太麺 1kg,1448,0,夕食後にカートを処理 / 安心のリピート
1290,21:30,木村 雄太,48,男,飲食店,茨城県,4620000,MUJI passport,アパレル,無印良品 縦横ストレッチ 細身パンツ 黒 32inch,3990,1,夜のリラックス中に / 安心のリピート
1355,22:35,木村 雄太,48,男,飲食店,茨城県,4620000,Amazon,食品,カゴメ 野菜一日これ一本 200ml x 24本,2566,1,夜のリラックス中に / 朝の野菜
450,07:30,高橋 芽依,39,女,ITエンジニア,茨城県,9650000,Amazon,食品,カゴメ 野菜一日これ一本 200ml x 24本,2841,0,朝の準備中ふと / 朝の野菜
530,08:50,高橋 芽依,39,女,ITエンジニア,茨城県,9650000,楽天市場,日用品,除菌できるウェットティッシュ 100枚 x 8パック,1730,0,朝の準備中ふと / ポイント10倍
1125,18:45,高橋 芽依,39,女,ITエンジニア,茨城県,9650000,BUYMA,ブランド品,【関税送料込】Hermès Twilly スカーフ 復刻柄,24322,0,夕食後にカートを処理 / ギフト用
1235,20:35,高橋 芽依,39,女,ITエンジニア,茨城県,9650000,楽天市場,日用品,コストコ カークランド トイレットペーパー 30ロール,4058,1,夜のリラックス中に / まとめ買いお得
1315,21:55,高橋 芽依,39,女,ITエンジニア,茨城県,9650000,MUJI passport,日用品,無印良品 アロマオイル ラベンダー 10ml,1190,1,夜のリラックス中に / リラックス
875,14:35,後藤 美穂,47,女,会社員,千葉県,3500000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,0,勤務中こっそり / 冬支度
1095,18:15,後藤 美穂,47,女,会社員,千葉県,3500000,楽天市場,化粧品,KOSE 雪肌精 化粧水 200ml,3173,1,通勤中ふと思い出して / リピート
1130,18:50,後藤 美穂,47,女,会社員,千葉県,3500000,Amazon,書籍,達人プログラマー 第2版 (オーム社),3520,0,夕食後にカートを処理 / 技術書
1145,19:05,後藤 美穂,47,女,会社員,千葉県,3500000,Yahoo!ショッピング,日用品,除菌洗剤 業務用 4L,2861,0,夕食後にカートを処理 / PayPay祭
1360,22:40,後藤 美穂,47,女,会社員,千葉県,3500000,楽天市場,化粧品,ETUDE ティアアイライナー 限定色,1637,1,寝る前に思い立って / 新作
