id,name,age,gender,occupation,prefecture,lat,lng,income_jpy,wfh,n_purchases_today,spend_today_jpy
27,斎藤 誠,20,男,大学生,東京都23区,35.70443,139.69855,800000,0,2,2316
28,松本 義男,76,男,退職,栃木県,36.54897,139.88788,1470000,0,2,5547
29,池田 誠,56,男,教員,埼玉県,35.79358,139.58781,3160000,0,5,30661
30,小林 樹,35,男,飲食店,東京都23区,35.72568,139.65852,4510000,0,5,22765
31,山本 京子,48,女,飲食店,神奈川県,35.39212,139.5555,4570000,0,5,11492
32,渡辺 達也,60,男,販売員,東京都市部,35.65142,139.30863,2950000,0,2,4958
33,渡辺 千尋,61,女,会社員,千葉県,35.7894,139.89816,4010000,0,2,6810
34,斎藤 由美,51,女,看護師,栃木県,36.3223,139.82122,4580000,0,5,16329
35,中村 綾,75,女,主婦・主夫,東京都23区,35.55555,139.70282,1510000,0,2,5118
36,清水 莉子,32,女,会社員,神奈川県,35.55321,139.52259,5150000,0,6,25071
37,加藤 心春,33,女,パート,東京都市部,35.63375,139.49166,1850000,0,4,20404
38,田中 綾,53,女,主婦・主夫,千葉県,35.68756,139.98595,1700000,0,4,9821
39,中村 莉子,52,女,主婦・主夫,茨城県,36.08859,140.09943,2660000,0,4,11972
40,長谷川 心春,47,女,主婦・主夫,東京都23区,35.65675,139.75691,1970000,0,4,12817
41,後藤 翼_41,59,男,工場勤務,東京都23区,35.65582,139.66141,6140000,0,5,11925
42,藤田 大翔,68,男,工場勤務,東京都23区,35.5412,139.73705,1870000,0,2,8463
43,松本 浩二,18,男,パート,埼玉県,35.9076,139.63472,970000,0,2,9520
44,清水 浩二,76,男,飲食店,茨城県,36.58877,140.65472,2590000,0,2,5280
45,田中 孝雄,76,男,退職,神奈川県,35.49435,139.62858,1650000,0,2,4262
46,石川 彩,58,女,フリーランス,東京都市部,35.69703,139.50847,7200000,1,6,41632
47,木村 悠人,74,男,工場勤務,千葉県,35.71995,140.22891,2950000,0,2,3820
48,木村 正樹,34,男,会社員,埼玉県,35.92848,139.48869,3570000,0,5,25027
49,斎藤 亮,48,男,会社員,千葉県,35.87136,139.95177,3320000,0,5,20124
50,木村 悠人_50,67,男,退職,神奈川県,35.52002,139.67556,2190000,0,2,6475
51,松本 凛,56,女,ITエンジニア,神奈川県,35.59113,139.50321,8760000,1,6,88321
52,前田 貴志,45,男,ITエンジニア,茨城県,35.91287,140.02764,13300000,1,6,127873
53,山崎 綾,64,女,会社員,千葉県,35.94144,139.87362,3260000,0,2,2780
54,森 心春,30,女,会社員,千葉県,35.7985,139.8805,3020000,0,5,37944
55,清水 和也,77,男,パート,東京都23区,35.56402,139.70212,1780000,0,2,4990
56,石川 麻衣,63,女,経営者・役員,東京都23区,35.69946,139.87387,9630000,0,2,4980
57,鈴木 美穂_57,78,女,工場勤務,千葉県,35.69938,139.9788,2900000,0,2,7280
58,清水 浩二_58,66,男,パート,千葉県,35.78175,139.88437,820000,0,1,1990
59,前田 京子,54,女,フリーランス,東京都市部,35.65857,139.32826,4480000,1,5,18477
60,池田 達也,24,男,会社員,埼玉県,35.9738,139.60088,2440000,0,4,13497
61,佐々木 拓海,49,男,会社員,埼玉県,35.95033,139.62314,5820000,0,6,19090
62,山口 彩,51,女,会社員,東京都市部,35.70679,139.48798,7770000,0,4,21705
63,木村 翼,58,男,会社員,千葉県,35.71221,139.94183,4420000,0,4,6008
64,後藤 由美,37,女,会社員,群馬県,36.31195,139.0064,3370000,0,5,9381
65,井上 京子,31,女,会社員,神奈川県,35.33131,139.61689,3050000,0,5,50048
66,木村 麻衣,29,女,会社員,栃木県,36.55716,139.88852,4910000,0,5,26650
67,山崎 陽菜,34,女,工場勤務,茨城県,36.18279,139.75254,3620000,0,5,41598
68,田中 拓海,18,男,大学生,東京都23区,35.77752,139.78944,800000,0,2,5143
69,井上 ハル,61,女,販売員,神奈川県,35.61812,139.58382,2020000,0,2,4814
70,田中 和也,62,男,会社員,東京都市部,35.70241,139.33947,2950000,0,1,1990
71,池田 貴志,69,男,退職,神奈川県,35.39939,139.52584,2270000,0,2,7808
72,藤田 莉子,55,女,会社員,埼玉県,35.8304,139.65732,3370000,0,5,9079
73,森 綾,45,女,販売員,埼玉県,35.81556,139.68788,4080000,0,4,21390
74,石川 美咲,66,女,退職,栃木県,36.72122,139.69452,1470000,0,2,7533
75,林 樹,61,男,工場勤務,東京都23区,35.69972,139.69868,3200000,0,2,4266
76,伊藤 杏,71,女,工場勤務,東京都23区,35.72396,139.8274,2990000,0,3,23063
77,伊藤 ハル,46,女,販売員,東京都23区,35.71389,139.76354,3580000,0,5,11060
78,伊藤 和也,41,男,会社員,東京都市部,35.70229,139.49602,4410000,0,5,13229
79,松本 京子,48,女,工場勤務,神奈川県,35.57369,139.58522,4030000,0,5,11301
80,加藤 孝雄,44,男,飲食店,茨城県,36.06796,140.2109,3740000,0,5,10130
81,森 正樹,77,男,主婦・主夫,千葉県,35.87098,139.89965,840000,0,2,3380
82,森 彩花,65,女,退職,神奈川県,35.46639,139.55994,2030000,0,1,2823
83,加藤 湊,21,男,大学生,茨城県,36.35754,140.47086,800000,0,2,25400
84,前田 千尋,47,女,ITエンジニア,神奈川県,35.55266,139.52345,8290000,1,7,53948
85,後藤 拓海,75,男,退職,東京都23区,35.63483,139.68373,3260000,0,2,5956
86,石川 拓海,61,男,会社員,神奈川県,35.57855,139.36983,3450000,0,2,4990
87,山田 樹,32,男,教員,東京都23区,35.70801,139.63261,10860000,0,6,41358
88,井上 莉子,24,女,主婦・主夫,東京都23区,35.76156,139.72372,800000,0,2,5877
89,中村 誠,66,男,飲食店,東京都23区,35.65488,139.81375,2770000,0,2,4760
90,斎藤 理恵,18,女,大学生,東京都市部,35.71332,139.5634,800000,0,2,2400
91,橋本 智子,63,女,会社員,埼玉県,35.80779,139.45447,6510000,0,2,3980
92,小林 美咲,20,女,大学生,神奈川県,35.57377,139.52773,800000,0,2,7182
93,岡田 芽依,49,女,看護師,東京都23区,35.57246,139.72494,4920000,0,5,19562
94,後藤 由美_94,48,女,公務員,神奈川県,35.52531,139.69665,9920000,0,5,16228
95,森 智也,42,男,飲食店,神奈川県,35.60486,139.52354,3040000,0,5,8775
96,山口 智也,68,男,主婦・主夫,神奈川県,35.34719,139.60742,1190000,0,2,1731
97,松本 智子,59,女,ITエンジニア,神奈川県,35.34957,139.48728,8630000,1,5,26794
98,高橋 麻衣,28,女,会社員,東京都市部,35.65438,139.48091,4560000,0,5,20571
99,山本 彩,43,女,会社員,神奈川県,35.55444,139.52794,4470000,0,5,8243
100,高橋 莉子,38,女,ITエンジニア,埼玉県,35.93103,139.68639,4840000,1,5,17250
101,井上 湊,41,男,教員,栃木県,36.812,139.93162,6720000,0,4,15930
102,石川 智也,34,男,工場勤務,神奈川県,35.56894,139.51874,3660000,0,5,50547
103,伊藤 克彦,35,男,会社員,千葉県,35.79578,139.90311,4750000,0,5,34536
104,渡辺 芽依,62,女,主婦・主夫,千葉県,35.63276,140.09641,800000,0,2,1980
105,池田 翼,65,男,退職,千葉県,35.36549,139.9281,1580000,0,2,8142
106,山口 桜,51,女,販売員,東京都23区,35.7207,139.75501,2730000,0,4,7213
107,池田 拓海,55,男,会社員,千葉県,35.68597,139.96709,6170000,0,5,16026
108,渡辺 亮,37,男,ITエンジニア,群馬県,36.38576,139.05926,6820000,1,6,15124
109,山本 孝雄,46,男,販売員,東京都23区,35.73073,139.70583,2780000,0,4,17231
110,小林 桜,18,女,販売員,埼玉県,35.93944,139.47728,2300000,0,4,14210
111,後藤 大翔,57,男,会社員,栃木県,36.69338,139.98364,6680000,0,5,7077
112,佐藤 由美,26,女,会社員,千葉県,35.71976,140.10042,5100000,0,6,43560
113,後藤 結愛,42,女,主婦・主夫,埼玉県,35.86156,139.64464,1860000,0,4,8645
114,松本 翔,20,男,大学生,神奈川県,35.46621,139.60324,800000,0,2,5607
115,木村 大翔,66,男,主婦・主夫,東京都23区,35.57213,139.69521,990000,0,2,6480
116,長谷川 和也,42,男,工場勤務,埼玉県,35.91903,139.48199,3280000,0,5,16676
117,後藤 拓海_117,48,男,会社員,千葉県,35.75945,139.90926,3730000,0,5,6980
118,山崎 凛,77,女,退職,千葉県,35.6373,140.11576,2420000,0,2,3480
119,渡辺 結愛,40,女,会社員,栃木県,36.37953,139.71813,5830000,0,6,9304
120,佐藤 拓海,44,男,パート,神奈川県,35.53256,139.42214,1950000,0,4,6976
121,斎藤 拓海,36,男,ITエンジニア,栃木県,36.56644,139.88341,9270000,1,6,52205
122,清水 桜,54,女,主婦・主夫,神奈川県,35.5412,139.54176,2210000,0,4,11747
123,伊藤 心春,52,女,公務員,栃木県,36.38822,139.73803,8800000,0,5,7363
124,田中 達也,56,男,会社員,茨城県,35.96525,140.13487,4700000,0,5,5136
125,佐々木 颯太,47,男,飲食店,東京都市部,35.71002,139.4587,5160000,0,5,13083
126,山崎 結衣,20,女,大学生,千葉県,35.87081,139.97485,800000,0,2,2170
127,高橋 理恵,28,女,主婦・主夫,東京都23区,35.5537,139.7204,890000,0,2,11590
128,石川 貴志,75,男,飲食店,茨城県,36.18459,139.76589,2250000,0,2,7228
129,山口 凛,40,女,主婦・主夫,千葉県,35.64962,139.89783,1480000,0,2,1822
130,斎藤 葵,21,女,大学生,栃木県,36.54991,139.8787,800000,0,2,4386
131,加藤 誠,33,男,販売員,千葉県,35.6125,140.11641,3740000,0,5,15859
132,池田 京子,67,女,退職,栃木県,36.38714,139.7176,2840000,0,2,5863
133,伊藤 健太,41,男,ITエンジニア,神奈川県,35.57297,139.376,8620000,1,6,36921
134,小林 ハル,73,女,退職,東京都23区,35.74609,139.65188,2080000,0,2,5066
135,吉田 彩,68,女,飲食店,群馬県,36.33334,138.87536,3370000,0,2,4752
136,吉田 孝雄,69,男,主婦・主夫,神奈川県,35.41525,139.49789,1250000,0,2,4520
137,吉田 翼,38,男,会社員,千葉県,35.86286,139.91853,5710000,0,7,21121
138,後藤 義男,78,男,退職,茨城県,36.08148,140.12268,1590000,0,2,6532
139,佐藤 正樹,30,男,公務員,神奈川県,35.57884,139.64816,5840000,0,5,13968
140,長谷川 和也_140,18,男,大学生,東京都市部,35.74536,139.53949,800000,0,2,4757
141,山崎 翔,69,男,パート,埼玉県,35.84118,139.80717,2000000,0,2,1877
142,池田 達也_142,60,男,ITエンジニア,千葉県,35.77639,140.32984,3600000,1,2,5280
143,田中 葵,45,女,ITエンジニア,神奈川県,35.47072,139.46683,8680000,1,6,16029
144,伊藤 颯太,79,男,退職,東京都23区,35.65297,139.63134,1780000,0,2,1606
145,森 浩二,69,男,退職,茨城県,35.98033,140.05346,2250000,0,2,6735
146,伊藤 陽翔_146,26,男,飲食店,茨城県,36.1806,139.96641,2350000,0,4,16121
147,加藤 京子,50,女,教員,東京都23区,35.70504,139.65921,8700000,0,4,8403
148,鈴木 樹,64,男,飲食店,千葉県,35.68989,139.97034,2710000,0,2,4170
149,鈴木 智也,32,男,会社員,栃木県,36.42581,140.00097,7180000,0,5,78002
150,渡辺 彩花,28,女,工場勤務,神奈川県,35.54938,139.6997,2230000,0,4,30353
151,池田 彩花,62,女,会社員,千葉県,35.96048,139.88959,2620000,0,2,2232
152,後藤 正樹,18,男,パート,東京都23区,35.78247,139.80084,940000,0,2,10815
153,橋本 ハル,42,女,会社員,千葉県,35.70818,139.96512,4360000,0,5,13525
154,清水 正樹,25,男,教員,東京都23区,35.57086,139.71426,5310000,0,5,12138
155,森 翼,53,男,会社員,東京都23区,35.5567,139.72246,4790000,0,5,10302
156,田中 樹_156,76,男,退職,千葉県,35.86416,139.95676,3080000,0,2,4968
157,小林 彩花,68,女,パート,千葉県,35.62601,140.09913,2240000,0,2,3095
158,伊藤 智也,64,男,デザイナー,東京都市部,35.68092,139.38735,2880000,1,2,3414
159,山本 彩花,75,女,飲食店,茨城県,36.09599,140.11576,5090000,0,1,1551
160,山崎 芽依,50,女,主婦・主夫,神奈川県,35.4131,139.49267,2300000,0,4,13349
161,井上 智也,38,男,会社員,千葉県,35.7182,140.08983,6970000,0,6,11235
162,渡辺 智子,55,女,主婦・主夫,埼玉県,35.96423,139.59416,1130000,0,2,3616
163,中村 凛,79,女,退職,東京都23区,35.69879,139.79512,2510000,0,2,839
164,木村 健太,23,男,飲食店,茨城県,36.08088,140.10457,1100000,0,2,6802
165,斎藤 結衣,30,女,会社員,東京都23区,35.69583,139.78818,5020000,0,5,23672
166,後藤 達也,26,男,会社員,埼玉県,35.90459,139.62514,5320000,0,6,36856
167,岡田 智也,49,男,会社員,東京都23区,35.6507,139.76826,4520000,0,5,13061
168,山口 湊,59,男,フリーランス,栃木県,36.33088,139.4512,4360000,1,5,11110
169,山田 ハル,60,女,会社員,東京都23区,35.74948,139.72433,3960000,0,2,3469
170,前田 節子,37,女,主婦・主夫,茨城県,36.36906,140.47376,1310000,0,2,929
171,山本 正樹,37,男,会社員,神奈川県,35.36615,139.21064,3540000,0,5,15027
172,林 悦子,40,女,会社員,埼玉県,35.93476,139.48625,5250000,0,5,8960
173,石川 雄太,20,男,大学生,神奈川県,35.45944,139.56167,800000,0,2,7403
174,小林 結衣,37,女,会社員,東京都23区,35.72953,139.78536,5360000,0,7,22715
175,岡田 悦子,56,女,会社員,東京都23区,35.70545,139.86836,4560000,0,5,6984
176,田中 由美,68,女,飲食店,千葉県,35.79475,139.91445,1980000,0,2,6080
177,橋本 美咲,62,女,会社員,東京都23区,35.7062,139.77603,4500000,0,2,5149
178,長谷川 彩,47,女,飲食店,東京都23区,35.78463,139.78776,2780000,0,4,8525
179,後藤 陽翔,44,男,工場勤務,茨城県,36.39318,140.55122,3310000,0,5,13965
180,田中 凛,67,女,退職,茨城県,36.36766,140.47198,1810000,0,2,6347
181,小林 智也,41,男,会社員,埼玉県,35.86287,139.64305,7100000,0,5,29910
182,井上 智也_182,54,男,会社員,神奈川県,35.33694,139.62217,3120000,0,5,13469
183,小林 誠,44,男,会社員,千葉県,35.68484,140.01854,6800000,0,5,13168
184,山本 由美,49,女,会社員,東京都23区,35.7266,139.86706,8720000,0,5,39453
185,松本 孝雄,44,男,会社員,茨城県,36.19311,140.2818,7020000,0,5,38901
186,田中 美穂,22,女,大学生,茨城県,36.17991,139.96898,800000,0,2,21698
187,池田 和也,40,男,販売員,千葉県,35.87012,140.02901,4040000,0,5,38011
188,木村 和也,32,男,公務員,茨城県,36.07341,140.09884,7220000,0,5,30273
189,鈴木 貴志,59,男,会社員,神奈川県,35.41597,139.54051,7150000,0,7,35968
190,木村 結愛,19,女,販売員,埼玉県,35.91503,139.48457,1810000,0,4,9977
191,森 結衣,51,女,飲食店,千葉県,35.84342,139.89368,5160000,0,5,14663
192,木村 美咲,57,女,飲食店,栃木県,36.576,139.89629,4310000,0,5,35010
193,橋本 拓海,54,男,会社員,東京都市部,35.69073,139.42555,3490000,0,4,9655
194,山崎 雅人,64,男,ITエンジニア,茨城県,36.39215,140.54021,6900000,1,2,3210
195,佐々木 京子,63,女,経営者・役員,埼玉県,35.89211,139.63724,10110000,0,2,7398
196,加藤 樹,78,男,飲食店,栃木県,36.55069,139.87765,2920000,0,2,6831
197,山本 桜,71,女,工場勤務,埼玉県,35.86568,139.63691,2600000,0,2,3010
198,後藤 颯太,78,男,工場勤務,埼玉県,35.92534,139.62763,2780000,0,3,4526
199,木村 彩,34,女,飲食店,千葉県,35.61313,140.1185,4070000,0,5,15605
200,林 美咲,33,女,会社員,埼玉県,35.90825,139.79126,2730000,0,4,20860
201,山口 麻衣,72,女,退職,東京都23区,35.6782,139.69957,1520000,0,3,10389
202,伊藤 美穂,64,女,工場勤務,東京都23区,35.64976,139.76373,2290000,0,2,2042
203,佐々木 克彦,60,男,主婦・主夫,神奈川県,35.52316,139.68062,1630000,0,2,5380
204,山口 麻衣_204,73,女,主婦・主夫,神奈川県,35.55848,139.38338,1150000,0,2,1337
205,橋本 颯太,61,男,会社員,東京都23区,35.66334,139.63786,3320000,0,2,7794
206,松本 誠,34,男,工場勤務,埼玉県,35.85484,139.65062,5420000,0,5,22920
207,鈴木 雅人,73,男,退職,神奈川県,35.57888,139.64718,2510000,0,2,4760
208,佐々木 凛,72,女,退職,千葉県,35.68215,139.96743,1860000,0,2,3667
209,山田 美咲,22,女,大学生,群馬県,36.28244,139.3506,800000,0,2,8030
210,小林 陽翔,18,男,パート,埼玉県,35.918,139.49628,810000,0,2,2947
211,鈴木 京子,42,女,販売員,神奈川県,35.44752,139.64325,2440000,0,4,8764
212,鈴木 健太,41,男,会社員,茨城県,36.18026,139.74269,8390000,0,5,21480
213,木村 莉子,77,女,退職,栃木県,36.55323,139.89524,2480000,0,2,7280
214,石川 雄太_214,65,男,パート,千葉県,35.61589,140.12421,2160000,0,2,3831
215,池田 ハル,74,女,工場勤務,東京都市部,35.63538,139.44572,3900000,0,3,4420
216,中村 美咲,65,女,退職,千葉県,35.72484,140.20983,1840000,0,2,20016
217,松本 和也,47,男,デザイナー,東京都市部,35.65788,139.47134,2830000,1,4,21718
218,吉田 智也,34,男,パート,千葉県,35.69095,139.97308,1400000,0,2,3420
219,吉田 麻衣,19,女,パート,栃木県,36.32003,139.57901,800000,0,2,8306
220,池田 貴志_220,22,男,大学生,神奈川県,35.47313,139.61677,800000,0,2,2857
221,松本 心春,42,女,ITエンジニア,東京都23区,35.70971,139.70539,8060000,1,6,62569
222,斎藤 達也,41,男,会社員,千葉県,35.69489,139.99668,3390000,0,5,8572
223,前田 麻衣,35,女,飲食店,埼玉県,35.90127,139.78154,4990000,0,5,20626
224,橋本 葵,30,女,会社員,神奈川県,35.50525,139.6393,4770000,0,4,9049
225,鈴木 綾,18,女,大学生,茨城県,36.19088,140.27482,800000,0,2,4669
226,清水 綾,46,女,教員,神奈川県,35.42124,139.5055,5450000,0,6,20734
227,鈴木 陽菜,32,女,パート,東京都市部,35.67015,139.31604,1090000,0,2,2623
228,小林 亮,29,男,販売員,群馬県,36.2375,139.53643,3280000,0,5,12637
229,田中 蓮,66,男,退職,栃木県,36.31946,139.59158,2420000,0,2,7980
230,佐々木 義男,57,男,会社員,千葉県,35.85724,139.88991,5170000,0,5,9932
231,高橋 雅人,52,男,公務員,千葉県,35.68276,140.02904,7750000,0,4,13962
232,森 節子,58,女,主婦・主夫,東京都23区,35.70417,139.70433,800000,0,2,4124
233,山本 彩花_233,26,女,主婦・主夫,茨城県,36.35126,140.45644,1260000,0,2,8039
234,後藤 綾,73,女,退職,東京都23区,35.65076,139.64826,1990000,0,2,5129
235,前田 麻衣_235,68,女,工場勤務,埼玉県,35.779,139.48396,3930000,0,2,4990
236,山田 誠,51,男,販売員,東京都23区,35.71379,139.81609,3610000,0,5,9023
237,佐々木 芽依,45,女,フリーランス,埼玉県,35.94366,139.69411,5700000,1,5,26540
238,吉田 大翔,32,男,飲食店,東京都23区,35.6926,139.77851,2010000,0,4,18880
239,佐藤 彩花,46,女,主婦・主夫,東京都市部,35.75415,139.4592,1540000,0,4,8246
240,松本 悦子,68,女,飲食店,神奈川県,35.49813,139.53621,2820000,0,2,3610
241,長谷川 蓮,71,男,退職,神奈川県,35.41378,139.46913,1630000,0,2,1350
242,吉田 智子,55,女,主婦・主夫,神奈川県,35.5781,139.37231,1960000,0,4,8327
243,高橋 颯太,67,男,主婦・主夫,埼玉県,35.846,139.80149,1190000,0,2,5030
244,前田 拓海,56,男,公務員,東京都23区,35.65642,139.75271,6020000,0,4,40450
245,渡辺 結衣,42,女,会社員,東京都市部,35.66299,139.56488,4730000,0,5,29318
246,林 浩二,37,男,公務員,東京都23区,35.6566,139.76403,7930000,0,5,20070
247,中村 彩,45,女,主婦・主夫,東京都23区,35.69588,139.64776,1590000,0,4,10229
248,橋本 千尋,54,女,主婦・主夫,茨城県,36.40074,140.52785,1470000,0,2,6888
249,石川 湊,27,男,デザイナー,群馬県,36.40737,139.0558,2480000,1,4,8703
250,池田 綾_250,53,女,販売員,東京都23区,35.70672,139.87515,3590000,0,5,9421
251,山田 蓮,45,男,工場勤務,東京都23区,35.6362,139.69489,3710000,0,5,13980
252,吉田 結衣,52,女,デザイナー,埼玉県,35.92253,139.60892,4280000,1,5,13713
253,木村 由美,54,女,主婦・主夫,神奈川県,35.44954,139.39536,1190000,0,2,5638
254,鈴木 陽翔,30,男,工場勤務,神奈川県,35.58106,139.64902,4070000,0,5,18460
255,加藤 結衣,62,女,公務員,東京都23区,35.7067,139.65495,6730000,0,2,5707
256,山田 心春,53,女,会社員,神奈川県,35.5989,139.56441,8110000,0,5,39654
257,渡辺 和也,43,男,会社員,茨城県,36.07659,140.19809,3500000,0,5,34259
258,佐々木 達也,53,男,ITエンジニア,千葉県,35.49032,140.11255,7200000,1,7,70377
259,加藤 莉子,60,女,会社員,東京都23区,35.72825,139.72452,3740000,0,2,3564
260,井上 颯太,71,男,主婦・主夫,東京都23区,35.70728,139.64292,940000,0,2,26108
261,山田 彩花,42,女,会社員,東京都23区,35.73882,139.72377,6000000,0,6,53184
262,田中 理恵,40,女,会社員,神奈川県,35.57103,139.66141,4640000,0,5,13519
263,高橋 悦子,65,女,退職,東京都市部,35.67654,139.31551,1780000,0,2,4800
264,松本 健太,51,男,会社員,神奈川県,35.43776,139.35136,3380000,0,5,14316
265,渡辺 桜,32,女,看護師,茨城県,36.29411,139.96579,3690000,0,5,18575
266,岡田 亮,35,男,ITエンジニア,茨城県,35.95977,140.0313,6140000,1,7,34897
267,橋本 杏_267,45,女,主婦・主夫,栃木県,36.80896,139.95013,2540000,0,4,11479
268,岡田 ハル,47,女,会社員,東京都23区,35.63788,139.69963,3980000,0,5,17200
269,伊藤 千尋,71,女,工場勤務,神奈川県,35.4637,139.63129,4190000,0,3,11715
270,池田 陽菜,48,女,会社員,東京都23区,35.7211,139.80109,3040000,0,5,23877
271,伊藤 美穂_271,36,女,デザイナー,千葉県,35.70565,139.93405,5740000,1,7,21369
272,池田 京子_272,56,女,主婦・主夫,東京都23区,35.66113,139.6449,1910000,0,4,7040
273,中村 翼,46,男,会社員,東京都23区,35.77456,139.79681,9620000,0,6,40093
274,鈴木 陽菜_274,43,女,会社員,東京都市部,35.68586,139.5848,6010000,0,5,31683
275,岡田 健太,77,男,主婦・主夫,神奈川県,35.56343,139.54022,1030000,0,2,2780
276,井上 雄太,33,男,会社員,東京都23区,35.75418,139.6845,4840000,0,4,18277
277,田中 和也_277,79,男,パート,東京都23区,35.74541,139.67617,1690000,0,3,1948
278,山崎 麻衣,57,女,会社員,群馬県,36.31914,139.00104,8120000,0,5,49567
279,田中 翼,72,男,主婦・主夫,埼玉県,35.78607,139.61463,2410000,0,2,4984
280,高橋 理恵_280,58,女,会社員,埼玉県,35.88885,139.78372,2360000,0,4,7678
281,高橋 亮,48,男,飲食店,埼玉県,35.89257,139.58895,3430000,0,5,13715
282,森 孝雄,72,男,飲食店,埼玉県,35.80673,139.73235,3520000,0,2,2352
283,渡辺 理恵,18,女,大学生,東京都23区,35.65294,139.7462,800000,0,2,5684
284,佐々木 理恵,34,女,公務員,茨城県,36.40042,140.52258,5120000,0,5,42854
285,森 由美,38,女,会社員,埼玉県,35.88095,139.7941,4900000,0,5,11025
286,井上 麻衣,75,女,退職,東京都市部,35.74324,139.46506,2720000,0,2,1979
287,森 葵,40,女,会社員,東京都23区,35.63606,139.70768,9360000,0,6,8577
288,山崎 智子,65,女,飲食店,茨城県,36.31567,139.9886,3900000,0,2,5980
289,木村 莉子_289,27,女,看護師,埼玉県,35.89295,139.56926,6210000,0,5,24370
290,岡田 正樹,72,男,主婦・主夫,東京都23区,35.70472,139.6614,2320000,0,2,3370
291,岡田 美咲,59,女,工場勤務,神奈川県,35.34688,139.60673,3360000,0,5,12432
292,田中 千尋,78,女,工場勤務,群馬県,36.37518,139.07158,3350000,0,2,4080
293,渡辺 義男,52,男,飲食店,千葉県,35.50451,140.1246,2980000,0,4,12932
294,池田 千尋,44,女,看護師,神奈川県,35.59151,139.66063,5350000,0,6,16405
295,長谷川 誠,53,男,会社員,東京都市部,35.5523,139.4527,2560000,0,4,10642
296,高橋 克彦,54,男,会社員,茨城県,36.09662,140.1227,3510000,0,5,14960
297,木村 陽菜,64,女,主婦・主夫,東京都市部,35.72599,139.47332,870000,0,2,2290
298,伊藤 麻衣,49,女,看護師,東京都23区,35.65195,139.63284,9790000,0,6,57544
299,小林 蓮,42,男,フリーランス,東京都23区,35.70923,139.86599,4240000,1,5,9132
300,伊藤 芽依,22,女,大学生,千葉県,35.73452,139.92721,800000,0,2,5980
301,藤田 湊,49,男,飲食店,群馬県,36.26404,138.91417,3230000,0,5,10137
302,伊藤 亮,58,男,飲食店,群馬県,36.32809,139.00881,3510000,0,4,6060
303,佐藤 健太,45,男,ITエンジニア,茨城県,36.60685,140.6694,5770000,1,7,22236
304,山本 莉子,33,女,会社員,埼玉県,35.9088,139.64553,3000000,0,5,20980
305,吉田 亮,62,男,飲食店,群馬県,36.39783,139.32872,4620000,0,2,3330
306,吉田 麻衣_306,21,女,大学生,茨城県,36.19637,140.29577,800000,0,2,5280
307,岡田 心春,40,女,販売員,東京都23区,35.68511,139.69592,2920000,0,4,9893
308,山崎 莉子,52,女,看護師,茨城県,35.97078,140.13242,4200000,0,5,17080
309,林 湊,57,男,公務員,埼玉県,35.86355,139.64824,7520000,0,6,27861
